"BEZEICHNUNG","THIS_YEAR"
"Veränderung der kurzfristiger Forderungen aus dem Bankenbereich",45796000
"Veränderung der Kundeneinlagen aus dem Bankgeschäft",24562000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",12159000
"Auszahlungen für Investitionen in Sachanlagen",2934000
"Erworbener Zahlungsmittel",176143000
"Auszahlungen für den Erwerb von assoziierten Unternehmen",0
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",4986000
"Tilgung Verbindlichkeiten aus Leasing",2642000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",240396000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",2213000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",13454000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",2266000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",120167000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",3314000
"Umsatzerlöse",274895000
"Aktivierte Eigenleistungen",9091000
"Materialaufwand",142970000
"Personalaufwand",38049000
"Sonstige betriebliche Erträge",4104000
"(at equity)",39000
"Abschreibungen (M&A bereinigt)*",11872000
"Abschreibungen (M&A bedingt)",9234000
"Sonstige Finanzerträge",908000
"Finanzaufwand",4023000
"Ertragsteueraufwand",8547000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",390
"Rechtsberatungs- und Abschlusskosten",2130000
"Beratungs- und beratungsnahe Kosten",5599000
"Bürokosten",3440000
"Betriebsausstattung und Leasing",3019000
"Reise, Vertrieb und Marketing",4985000
"Personalnahe Aufwendungen",3714000
"Versicherungen, Beiträge und Abgaben",678000
"Sonstiges",2286000
"Kundenbeziehungen",471589000
"Selbsterstellte immaterielle Verm<f6>genswerte",122868000
"Sonstige immaterielle Verm<f6>genswerte",124853000
"2. Sachanlagen",59405000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14065000
"Latente Steueranspr<fc>che",9667000
"1. Vorr<e4>te und unfertige Leistungen",11359000
"2. Forderungen aus dem Acquiringbereich",453659000
"Steuererstattungsanspr<fc>che",4916000
"5. Verzinsliche Wertpapiere und Festgelder",215856000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",1948498000
"Payment Processing & Risk Management",525627000
"Acquiring & Issuing",142710000
"Call Center & Communication Services",288000
"abz<fc>glich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",19888000
