"37,72,087"
"35,53,624"
"36,76,747"
"40,30,890"
"41,34,529"
"50,41,635"
"45,54,136"
"42,06,217"
"38,89,653"
"39,33,276"
"43,57,143"
"49,62,049"
"46,39,045"
"46,44,816"
"48,09,102"
"50,77,001"
"57,50,524"
"49,92,039"
"59,57,440"

"52,76,330"
"51,79,135"
"54,72,756"
"54,09,902"
"49,28,926"
"65,24,495"
"56,53,629"
"57,38,104"

"85,05,360"
"80,29,964"
"80,47,117"
"69,51,311"
"85,76,757"
"80,32,060"
"67,40,708"
"76,72,875"
"73,06,106"
"58,92,830"
"56,19,759"
"71,65,963"
"77,77,335"
"89,64,685"
"92,19,375"
"93,42,717"
"1,07,39,207"
"1,05,45,356"
"1,12,38,779"
"1,01,30,159"
"1,34,51,356"
"1,00,73,709"
"91,87,884"
"1,25,41,854"
"1,23,51,152"
"1,61,22,102"
"1,52,63,595"
"1,43,81,794"
"1,44,99,651"
"1,62,37,530"
"1,68,56,156"
"1,70,11,486"
"1,62,24,663"
"1,57,17,115"
"1,76,23,204"
"2,01,20,486"
"2,22,30,049"
"2,23,58,160"
"2,21,86,162"
"2,37,07,693"
"2,60,91,322"
"2,56,96,230"
"2,60,17,722"
"2,59,33,446"
"2,35,18,943"
"2,20,82,909"
"2,22,81,707"
"1,70,68,145"
"1,66,55,795"
"1,75,67,496"
"1,84,35,881"
"2,29,96,897"
"1,98,38,570"
"1,96,46,250"
"1,73,97,150"
"1,77,57,290"
"1,78,62,198"
"1,64,00,618"
